Date,Similarity Metric (0.00-1.00)
18-Feb-18,0.0614
19-Feb-18,0.0913
20-Feb-18,0.0368
21-Feb-18,0.0213
22-Feb-18,0.0098
23-Feb-18,0.0161
24-Feb-18,0.0484
25-Feb-18,0.0394
26-Feb-18,0.0561
27-Feb-18,0.1
28-Feb-18,0.0683
1-Mar-18,0.0873
2-Mar-18,0.0627
3-Mar-18,0.0667
4-Mar-18,0.0572
5-Mar-18,0.0531
6-Mar-18,0.0149
7-Mar-18,0.0381
8-Mar-18,0.0622
9-Mar-18,0.0962
10-Mar-18,0.0774
11-Mar-18,0.076
12-Mar-18,0.0122
13-Mar-18,0.0695
14-Mar-18,0.0183
15-Mar-18,0.0427
16-Mar-18,0.0844
17-Mar-18,0.0037
18-Mar-18,0.8965
19-Mar-18,0.7814
20-Mar-18,0.0148
21-Mar-18,0.0743
22-Mar-18,0.0762
23-Mar-18,0.0851
24-Mar-18,0.0868
25-Mar-18,0.0859
26-Mar-18,0.0221
27-Mar-18,0.0412
28-Mar-18,0.0139
29-Mar-18,0.0176
30-Mar-18,0.0007
31-Mar-18,0.0223
1-Apr-18,0.0753
2-Apr-18,0.0525
3-Apr-18,0.0305
4-Apr-18,0.0156
5-Apr-18,0.0359
6-Apr-18,0.0142
7-Apr-18,0.0923
8-Apr-18,0.0916
9-Apr-18,0.0925
10-Apr-18,0.0295
11-Apr-18,0.0851
12-Apr-18,0.0905
13-Apr-18,0.0397
14-Apr-18,0.0647
15-Apr-18,0.0174
16-Apr-18,0.0043
17-Apr-18,0.0119
18-Apr-18,0.013
